s        Dmax   p      w      H                          
500      130    10     0.2    125009769         
500      130    10     0.4    130568684         
500      130    10     0.6    136127599         
500      130    10     0.8    141686514         
500      130    20     0.2    77719773          
500      130    20     0.4    83733574          
500      130    20     0.6    89747374          
500      130    20     0.8    95761175                 
1000     130    10     0.2    159170800         
1000     130    10     0.4    165146598         
1000     130    10     0.6    171122397         
1000     130    10     0.8    177098195         
1000     130    20     0.2    105361780         
1000     130    20     0.4    111625771         
1000     130    20     0.6    117889763         
1000     130    20     0.8    124153754                 
1500     130    10     0.2    176993212         
1500     130    10     0.4    182733308         
1500     130    10     0.6    188473405         
1500     130    10     0.8    194213501         
1500     130    20     0.2    121261767         
1500     130    20     0.4    127602000         
1500     130    20     0.6    133942232         
1500     130    20     0.8    140282465                 
2000     130    10     0.2    188824600         
2000     130    10     0.4    195137004         
2000     130    10     0.6    201449407         
2000     130    10     0.8    207761811         
2000     130    20     0.2    130793907         
2000     130    20     0.4    137159489         
2000     130    20     0.6    143525070         
2000     130    20     0.8    149890652         
